PWM;VTotal;VDiodo;CDiodo
20;0,12;0,12;0
25;0,15;0,15;0
30;0,27;0,2;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,25;0,32;0
50;0,35;0,33;0
55;0,39;0,34;0
60;0,43;0,32;0
65;0,55;0,39;0
70;0,54;0,38;0
75;0,59;0,39;0
80;0,72;0,42;0
85;0,73;0,41;0
90;0,78;0,41;0
95;0,92;0,43;0
100;1,04;0,43;0
105;1,03;0,42;0
110;1,18;0,44;0
115;1,34;0,46;0
120;1,35;0,44;0
125;1,53;0,45;0
130;1,73;0,46;0
135;1,78;0,45;0
140;2,01;0,47;0
145;2,25;0,47;0,01
150;2,35;0,46;0,01
155;2,63;0,48;0,01
160;2,89;0,49;0,01
165;3;0,48;0,01
170;3,26;0,49;0,01
175;3,47;0,49;0,01
180;3,55;0,49;0,01
185;3,73;0,49;0,01
190;3,89;0,5;0,01
195;4;0,49;0,01
200;4,07;0,5;0,01
205;4,18;0,5;0,01
210;4,26;0,5;0,01
215;4,31;0,5;0,01
220;4,39;0,5;0,01
225;4,45;0,5;0,01
230;4,49;0,5;0,01
235;4,56;0,5;0,01
240;4,61;0,5;0,01
245;4,65;0,5;0,01
250;4,71;0,5;0,01
255;4,75;0,5;0,01
0;2,21;0,46;0,01
5;0,64;0,4;0
10;0,2;0,2;0
15;0,12;0,12;0
20;0,12;0,12;0
25;0,12;0,19;0
30;0,19;0,19;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,33;0,3;0
50;0,34;0,32;0
55;0,38;0,34;0
60;0,49;0,38;0
65;0,49;0,38;0
70;0,53;0,38;0
75;0,63;0,41;0
80;0,69;0,4;0
85;0,72;0,4;0
90;0,77;0,4;0
95;0,94;0,43;0
100;0,95;0,42;0
105;1,02;0,42;0
110;1,22;0,44;0
115;1,25;0,43;0
120;1,33;0,43;0
125;1,57;0,45;0
130;1,66;0,45;0
135;1,76;0,45;0
140;2,05;0,47;0,01
145;2,28;0,46;0,01
150;2,33;0,46;0,01
155;2,66;0,48;0,01
160;2,9;0,5;0,01
165;2,96;0,47;0,01
170;3,28;0,49;0,01
175;3,48;0,49;0,01
180;3,5;0,47;0,01
185;3,76;0,5;0,01
190;3,9;0,5;0,01
195;3,89;0,47;0,01
200;4,09;0,5;0,01
205;4,18;0,5;0,01
210;4,16;0,48;0,01
215;4,32;0,5;0,01
220;4,38;0,5;0,01
225;4,37;0,48;0,01
230;4,5;0,5;0,01
235;4,56;0,5;0,01
240;4,61;0,49;0,01
245;4,66;0,5;0,01
250;4,7;0,5;0,01
255;4,75;0,5;0,01
0;2,2;0,46;0,01
5;0,64;0,4;0
10;0,2;0,19;0
15;0,12;0,12;0
20;0,12;0,12;0
25;0,16;0,15;0
30;0,18;0,18;0
35;0,22;0,22;0
40;0,3;0,35;0
45;0,3;0,29;0
50;0,34;0,32;0
55;0,33;0,36;0
60;0,45;0,36;0
65;0,48;0,37;0
70;0,53;0,33;0
75;0,66;0,42;0
80;0,66;0,4;0
85;0,71;0,4;0
90;0,86;0,43;0
95;0,88;0,42;0
100;0,94;0,42;0
105;1,1;0,44;0
110;1,25;0,43;0
115;1,23;0,43;0
120;1,43;0,45;0
125;1,59;0,46;0
130;1,62;0,44;0
135;1,87;0,46;0
140;2,07;0,47;0,01
145;2,14;0,46;0,01
150;2,43;0,48;0,01
155;2,68;0,48;0,01
160;2,76;0,47;0,01
165;3,07;0,49;0,01
170;3,29;0,49;0,01
175;3,35;0,48;0,01
180;3,61;0,49;0,01
185;3,77;0,5;0,01
190;3,8;0,49;0,01
195;3,98;0,5;0,01
200;4,09;0,5;0,01
205;4,16;0,49;0,01
210;4,24;0,5;0,01
215;4,32;0,5;0,01
220;4,39;0,5;0,01
225;4,44;0,5;0,01
230;4,51;0,5;0,01
235;4,57;0,5;0,01
240;4,61;0,5;0,01
245;4,66;0,5;0,01
250;4,7;0,5;0,01
255;4,74;0,5;0,01
0;2,2;0,46;0,01
5;0,67;0,4;0
10;0,21;0,21;0
15;0,12;0,12;0
20;0,14;0,13;0
25;0,15;0,15;0
30;0,18;0,18;0
35;0,2;0,25;0
40;0,26;0,26;0
45;0,3;0,29;0
50;0,34;0,31;0
55;0,46;0,36;0
60;0,43;0,36;0
65;0,48;0,37;0
70;0,6;0,4;0
75;0,61;0,39;0
80;0,65;0,4;0
85;0,76;0,42;0
90;0,89;0,42;0
95;0,87;0,41;0
100;0,93;0,42;0
105;1,12;0,44;0
110;1,13;0,43;0
115;1,22;0,43;0
120;1,45;0,45;0
125;1,49;0,44;0
130;1,6;0,45;0
135;1,89;0,46;0
140;1,97;0,45;0
145;2,12;0,45;0,01
150;2,45;0,48;0,01
155;2,59;0,47;0,01
160;2,74;0,47;0,01
165;3,09;0,49;0,01
170;3,3;0,48;0,01
175;3,34;0,49;0,01
180;3,63;0,5;0,01
185;3,78;0,52;0,01
190;3,77;0,49;0,01
195;3,98;0,5;0,01
200;4,09;0,5;0,01
205;4,06;0,5;0,01
210;4,25;0,5;0,01
215;4,33;0,5;0,01
220;4,32;0,5;0,01
225;4,45;0,5;0,01
230;4,51;0,5;0,01
235;4,55;0,5;0,01
240;4,61;0,5;0,01
245;4,65;0,5;0,01
250;4,69;0,5;0,01
255;4,74;0,5;0,01
0;2,2;0,46;0,01
5;0,66;0,4;0
10;0,2;0,2;0
15;0,08;0,14;0
20;0,12;0,13;0
25;0,15;0,15;0
30;0,18;0,18;0
35;0,24;0,23;0
40;0,26;0,26;0
45;0,29;0,29;0
50;0,39;0,36;0
55;0,4;0,35;0
60;0,43;0,36;0
65;0,43;0,39;0
70;0,57;0,39;0
75;0,6;0,39;0
80;0,65;0,36;0
85;0,79;0,42;0
90;0,79;0,41;0
95;0,86;0,41;0
100;1,02;0,43;0
105;1,06;0,43;0
110;1,12;0,43;0
115;1,32;0,45;0
120;1,41;0,44;0
125;1,47;0,44;0
130;1,72;0,46;0
135;1,9;0,46;0
140;1,94;0,45;0
145;2,23;0,47;0,01
150;2,47;0,48;0,01
155;2,54;0,46;0,01
160;2,87;0,48;0,01
165;3,1;0,49;0,01
170;3,17;0,48;0,01
175;3,46;0,49;0,01
180;3,63;0,49;0,01
185;3,65;0,48;0,01
190;3,87;0,5;0,01
195;3,99;0,5;0,01
200;4;0,49;0,01
205;4,16;0,5;0,01
210;4,26;0,5;0,01
215;4,26;0,49;0,01
220;4,38;0,5;0,01
225;4,45;0,5;0,01
230;4,51;0,5;0,01
235;4,55;0,5;0,01
240;4,6;0,5;0,01
245;4,65;0,51;0,01
250;4,7;0,5;0,01
255;4,75;0,5;0,01
0;2,21;0,46;0,01
5;0,65;0,4;0
10;0,2;0,2;0
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,22;0,2;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,29;0,31;0
50;0,36;0,33;0
55;0,39;0,34;0
60;0,43;0,36;0
65;0,55;0,43;0
70;0,54;0,38;0
75;0,59;0,39;0
80;0,71;0,41;0
85;0,74;0,41;0
90;0,78;0,41;0
95;0,9;0,43;0
100;1,04;0,44;0
105;1,04;0,43;0
110;1,09;0,43;0
115;1,33;0,45;0
120;1,36;0,43;0
125;1,44;0,45;0
130;1,73;0,46;0
135;1,78;0,45;0
140;1,91;0,46;0
145;2,25;0,47;0,01
150;2,36;0,46;0,01
155;2,53;0,48;0,01
160;2,89;0,48;0,01
165;3,01;0,47;0,01
170;3,23;0,49;0,01
175;3,47;0,49;0,01
180;3,64;0,49;0,01
185;3,72;0,49;0,01
190;3,88;0,5;0,01
195;4;0,52;0,01
200;4,06;0,5;0,01
205;4,17;0,5;0,01
210;4,26;0,5;0,01
215;4,3;0,5;0,01
220;4,38;0,5;0,01
225;4,45;0,5;0,01
230;4,49;0,5;0,01
235;4,56;0,5;0,01
240;4,61;0,5;0,01
245;4,66;0,5;0,01
250;4,71;0,5;0,01
255;4,75;0,5;0,01
0;2,2;0,46;0,01
5;0,64;0,4;0
10;0,21;0,2;0
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,18;0
30;0,19;0,19;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,39;0,31;0
50;0,35;0,32;0
55;0,38;0,34;0
60;0,48;0,38;0
65;0,49;0,37;0
70;0,53;0,38;0
75;0,55;0,4;0
80;0,77;0,41;0
85;0,72;0,4;0
90;0,78;0,37;0
95;0,94;0,43;0
100;0,95;0,42;0
105;1,02;0,42;0
110;1,21;0,44;0
115;1,26;0,43;0
120;1,34;0,43;0
125;1,57;0,45;0
130;1,67;0,45;0
135;1,77;0,45;0
140;2,05;0,47;0,01
145;2,27;0,47;0,01
150;2,33;0,46;0,01
155;2,66;0,48;0,01
160;2,89;0,5;0,01
165;2,96;0,47;0,01
